No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1422,0.5038,4.71709,3.35366,421.405,1.37981,-3.698866667,-6.024826667,0.172274031,0.144930776,5874.863767,12473.77606,0.101961758,0.116901907,4.586107941
1424,0.6452,10.15108,7.28168,2213.74,0.88059,-4.170773333,-6.607153333,0.254443258,0.21106594,6507.396364,13384.81181,0.47807344,0.734022366,6.141502996
1425,0.4634,5.69411,4.34501,453.917,1.35778,-5.89511,-8.902803333,0.265457075,0.242226998,20318.10844,40390.63171,0.275198863,0.767203316,11.15125706
1426,0.5252,4.71155,3.76742,736.651,1.30691,-4.933726667,-7.581713333,0.273795985,0.236400852,8538.312094,17470.26782,0.48132774,1.063858448,8.841031668
1438,0.694,10.22426,4.14883,2829.49,0.842926,-3.55611,-5.366613333,0.239900031,0.190913745,2908.644977,6242.992921,0.39452007,0.470183728,4.767146351
1439,0.6024,6.08923,4.67292,1800.94,0.939565,-4.65483,-6.967173333,0.293914434,0.250438811,4598.302984,9563.802039,0.804701708,1.873711847,9.313820654
1440,0.583,5.90692,5.38954,1361.88,0.987787,-4.650116667,-6.90782,0.284461462,0.245326227,5907.732828,12092.10057,0.592764609,1.333948733,9.001541001
1443,0.4992,6.03622,4.38011,1050.17,1.1026,-5.192483333,-7.94261,0.294232895,0.258653469,14155.44989,28254.73549,0.584568432,1.613016437,11.0373147
1444,0.4358,5.02301,3.6293,499.196,1.41651,-4.398183333,-6.972246667,0.198500637,0.183378096,12342.07024,24505.82691,0.149269701,0.302744437,8.112682881
1445,0.5574,9.52896,9.26877,1043.12,1.12614,-3.212743333,-4.918823333,0.212323326,0.170756819,6876.150268,13778.53733,0.245298254,0.285645629,4.657931711
1446,0.6086,12.33039,11.4865,1226.32,0.854274,-7.07179,-11.163,0.326668178,0.307752536,9025.832513,18164.38901,0.427547937,1.403121242,13.12714782
1447,0.4824,6.93055,5.1748,717.883,1.20906,-4.699656667,-6.910636667,0.250620151,0.217201549,16129.18099,31928.91766,0.351824045,0.698370972,7.940002759
1448,0.4828,6.87088,4.98271,703.343,1.21823,-4.61837,-6.937153333,0.248477896,0.215765562,18095.61507,35588.19871,0.341519564,0.66025218,7.733111067
1451,0.4766,4.09039,3.62411,290.531,1.61904,-4.299043333,-6.29312,0.176955783,0.141373927,12944.88246,25806.72138,0.11284278,0.115104624,4.080176827
1457,0.4148,5.05411,4.785,408.141,1.40153,-6.415073333,-9.443576667,0.31244517,0.284435642,10676.05447,21490.16276,0.349573345,1.289994443,14.76078724
1463,0.5188,4.79857,3.93176,775.301,1.3394,-5.328873333,-7.64838,0.287811764,0.246389455,12737.04561,25378.57037,0.574469459,1.283082981,8.934037909
1470,0.5,5.33987,4.51439,280.284,2.64413,-3.125743333,-4.477633333,0.107739336,0.088479353,7265.905268,14516.05898,0.032552224,0.027482859,3.377079121
1471,0.5046,5.34103,4.53282,283.494,2.64148,-3.014826667,-4.342733333,0.106219188,0.087188396,12550.85335,24648.77494,0.030677004,0.026220057,3.418854983
1472,0.467,5.3241,4.46702,262.053,2.91222,-2.204856667,-3.65405,0.084387222,0.077002049,16224.52602,31483.58753,0.01948654,0.018989221,3.897915382
1473,0.4474,5.27771,4.42008,246.694,2.93369,-2.207463333,-3.83561,0.086326179,0.079250868,16772.40246,32853.78452,0.020183319,0.020487956,4.060374015
1474,0.4844,5.52646,4.02779,350.069,2.62807,-3.06404,-4.587066667,0.131753143,0.115526267,14434.37051,28204.87614,0.04852924,0.055170092,4.547369133
