No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
354,0.71373,22.30064,22.06437,1700.55005,0.61723,-3.092866667,-4.890696667,0.221211354,0.173089746,24217.28166,46375.11514,0.283002577,0.285590974,4.036584786
355,0.74871,23.40945,23.17624,2195.92993,0.48638,-2.79864,-4.341983333,0.218323745,0.164136955,19029.42583,36634.4647,0.281617713,0.234838577,3.335565433
356,0.62165,11.19018,10.72475,1651.53003,0.76907,-3.261816667,-5.03082,0.224196309,0.176114675,7658.604922,15029.23605,0.310466084,0.325192269,4.189730029
357,0.78306,21.6781,21.00102,2653.1499,0.45999,-3.165836667,-4.60978,0.212003862,0.156294724,5524.98139,11196.88961,0.249212525,0.188132931,3.019638466
358,0.70397,17.68848,17.4324,1446.43005,0.6382,-3.10409,-4.269043333,0.194591439,0.134341856,826.0653535,2349.105699,0.178965132,0.100950026,2.256306011
359,0.75835,19.42127,18.96217,2941.83008,0.53663,-4.914836667,-7.734956667,0.27520053,0.231235566,4832.072538,10012.59957,0.623326145,0.96022922,6.161969794
360,0.7371,20.85688,20.63214,2091,0.55292,-3.46695,-5.188316667,0.21732354,0.163251314,2132.377786,4854.765071,0.275537967,0.231470225,3.360266132
361,0.77318,23.52769,23.24997,2544.03003,0.48979,-4.864866667,-7.181883333,0.270104688,0.211369465,4421.114251,9116.729153,0.562417089,0.551029403,3.919008963
362,0.80917,32.11311,31.96671,3197.12988,0.38521,-2.570393333,-3.95066,0.215710881,0.152645571,1737.442513,3947.124628,0.267538876,0.171468764,2.563646324
363,0.87765,17.50771,13.4128,5107.4502,0.27538,-1.618086667,-2.512803333,0.224697987,0.150560273,3437.235583,6766.875651,0.322836626,0.161030804,1.995198701
364,0.76148,11.20454,8.17402,4119.8999,0.51136,-3.739923333,-6.04923,0.255406868,0.19909711,1591.29499,3677.965746,0.542755985,0.582147353,4.290306286
365,0.75974,29.3046,29.13681,1693.31006,0.52301,-2.35021,-3.73498,0.194365183,0.14035334,18316.48118,35317.87473,0.17396239,0.118009982,2.713459666
367,0.71715,9.02068,7.64839,3724.90991,0.58078,-5.326006667,-8.34269,0.291627478,0.252450367,5601.923312,11202.99908,0.607305151,0.815315692,5.370056164
368,0.73506,27.08872,26.88207,1641.29004,0.54975,-3.247846667,-4.842306667,0.214045338,0.165843681,8337.218633,16306.01883,0.254106516,0.236022183,3.715326729
369,0.72041,26.00686,25.81935,1565.29004,0.57428,-3.19255,-4.763653333,0.213425885,0.164427255,8317.490242,16247.70381,0.245089711,0.226709606,3.700026498
370,0.6617,16.92871,16.51179,2255.54004,0.65325,-3.26488,-5.30785,0.227490263,0.183209513,8407.83493,16813.25065,0.321060751,0.393988949,4.908590644
371,0.6224,13.13528,12.62514,1791.75,0.73334,-4.216556667,-6.313076667,0.243472293,0.203431224,13152.12303,26171.34894,0.365818366,0.530141815,5.796776378
372,0.63589,7.33745,6.32576,2401.1499,0.70211,-5.08496,-7.661853333,0.287811764,0.23702324,6793.082092,13855.94452,0.750171264,1.213379335,6.469879041
373,0.56729,13.7075,13.33488,1332.06006,0.86909,-3.722083333,-5.27063,0.200145946,0.153604013,13815.46546,27355.13018,0.193648454,0.172786903,3.56908407
374,0.80742,26.12067,25.90948,2783.37012,0.38269,-2.387503333,-3.921303333,0.219719286,0.15761897,6658.046419,13469.36886,0.292056917,0.194182233,2.659512195
375,0.669,23.57254,23.27554,1502.47998,0.64283,-2.56096,-4.53733,0.184922518,0.144422323,16914.39023,33364.03886,0.139949295,0.128874055,3.683449937
376,0.7009,23.45655,23.16359,1734.84998,0.57777,-2.165823333,-3.561203333,0.189862958,0.140410828,16630.31812,32648.06651,0.158521183,0.118602918,2.992733622
377,0.66246,23.64665,23.35047,1512.73999,0.64212,-2.616523333,-4.38344,0.183818246,0.14369784,17691.34784,34811.61268,0.140980584,0.129226176,3.666495698
378,0.69404,23.62181,23.33054,1681.93005,0.58343,-2.319753333,-3.707223333,0.192517907,0.143750089,14056.63528,27688.07125,0.171448931,0.131648046,3.071422962
379,0.66008,23.46923,23.1796,1471.43005,0.65534,-2.59806,-4.365136667,0.182115478,0.141652217,20850.34498,40858.37228,0.135592687,0.120662094,3.559545752
380,0.66152,14.17973,13.98639,1796.29004,0.68729,-3.3727,-5.1374,0.215262031,0.17170874,3838.903483,7767.636307,0.246389805,0.269393556,4.373452982
381,0.6872,16.40349,15.86913,1832.97998,0.6471,-3.156123333,-4.93955,0.219443228,0.172406058,9839.748749,19508.48282,0.27568624,0.279268428,4.051974854
382,0.70002,17.25067,17.10324,1967.12,0.58923,-3.21269,-5.031956667,0.226776511,0.1771346,2195.140928,4753.709027,0.313541256,0.319973496,4.082059245
383,0.74281,9.57067,8.57867,4931.25977,0.49972,-4.162006667,-6.479396667,0.291960558,0.240063775,2875.185405,6106.049978,0.90052175,1.428709162,6.3461395
384,0.77062,20.61346,20.19841,2507.05005,0.45333,-2.632826667,-4.30498,0.213891182,0.159131152,14169.80846,27412.45316,0.254893915,0.198580775,3.116288998
385,0.76332,22.92078,22.66778,2242.6499,0.47139,-3.01695,-4.776803333,0.220808754,0.168257117,9476.058696,18537.21791,0.286054711,0.252953489,3.537134396
386,0.66677,17.2834,16.94757,1699.20996,0.67419,-3.991366667,-6.158763333,0.230805366,0.190367156,7022.410043,14103.72168,0.309784411,0.400239448,5.167974039
387,0.76723,24.09674,23.83385,2371.16992,0.44353,-2.976186667,-4.714423333,0.22013058,0.167735003,11047.95881,21645.31053,0.282237298,0.250065517,3.544046352
388,0.72841,21.51866,21.39547,1957.12,0.53503,-3.172356667,-5.185673333,0.221211354,0.17170874,5860.668246,11675.92939,0.287836942,0.274939688,3.820769985
389,0.79602,29.23223,29.12338,2363.71997,0.40521,-3.417603333,-5.48873,0.221211354,0.170025483,7182.546352,14206.31029,0.287256585,0.259530765,3.613922575
390,0.78732,27.16334,27.1104,2454.73999,0.40755,-2.90577,-4.600786667,0.22053857,0.1666668,7730.870245,15382.90004,0.284320701,0.245029977,3.447233722
391,0.75569,24.28962,24.12196,2176.04004,0.50476,-2.82206,-4.455096667,0.214960579,0.165000726,6092.503799,12055.11376,0.254778979,0.2296875,3.606066727
392,0.73382,23.46989,23.4223,1913.72998,0.5709,-3.314636667,-5.477666667,0.214960579,0.172406058,4848.835645,9674.620691,0.239633705,0.256460394,4.280873494
393,0.75616,25.7194,25.49763,2030.47998,0.51014,-3.53737,-5.850003333,0.226415839,0.183378096,7268.729639,14308.16232,0.287357062,0.33558399,4.671317116
394,0.72595,23.04581,22.83808,2083.53003,0.54432,-3.323996667,-5.47,0.222530766,0.178320508,13823.83903,27136.24107,0.280186117,0.310512087,4.432940374
395,0.73714,20.6236,20.42364,2146.65991,0.5107,-2.87653,-4.802853333,0.224697987,0.172635442,9499.457257,18672.98536,0.312821998,0.290695555,3.717073055
396,0.65537,14.86384,14.72101,1826.75,0.67697,-3.740326667,-5.537686667,0.231791698,0.184698289,6842.359302,13637.05943,0.345613073,0.391075704,4.526167956
397,0.73966,23.59523,23.31933,2020.06006,0.51476,-3.19833,-5.31242,0.220673841,0.174634897,7895.172684,15710.92629,0.279608468,0.28798511,4.119833886
398,0.7857,33.55266,33.38062,1903.75,0.44459,-2.540463333,-3.98401,0.207130573,0.15186773,13312.60811,25677.78695,0.227034161,0.167104541,2.944130356
399,0.80779,38.29444,38.14163,1972.93994,0.39305,-2.394993333,-3.632276667,0.209541612,0.149601831,14521.31038,27933.00096,0.238456711,0.155772068,2.613003708
400,0.74755,18.8489,18.34897,2376.45996,0.51245,-2.83598,-4.561913333,0.222400357,0.167735003,11836.09883,22865.66992,0.303847295,0.256718211,3.379568822
401,0.7754,34.32443,34.17223,1722.66003,0.46991,-2.59361,-4.00458,0.211033237,0.155964886,14424.53958,27746.62708,0.242554709,0.184996284,3.050796829
402,0.74867,21.18073,20.88178,2259.71997,0.48038,-2.939096667,-4.82593,0.225564175,0.17569823,6147.679574,12199.37567,0.310152798,0.309849444,3.996087681
403,0.7327,19.12139,18.84527,2232.67993,0.53323,-3.54055,-5.557676667,0.233183415,0.187498259,3669.662221,7437.283315,0.339218922,0.395946267,4.66891723
404,0.52451,10.62648,10.51966,1147.26001,0.94837,-4.404266667,-6.649546667,0.240998333,0.20036162,8759.819944,17243.36237,0.3822663,0.579413563,6.062931134
405,0.65241,12.67816,12.21247,1753.32996,0.7189,-3.60305,-5.503433333,0.222138529,0.176114675,12573.39923,24746.08599,0.293476237,0.319420618,4.353614734
406,0.62688,11.82847,11.40458,1715.89001,0.74595,-3.443533333,-5.209516667,0.246322897,0.195720122,9705.729686,19093.029,0.456430817,0.559784234,4.905753182
407,0.6876,14.92983,14.32288,1495.81995,0.87088,-5.673393333,-8.550673333,0.309476557,0.269721966,7956.954182,16214.99411,0.752164195,1.782553698,9.479598793
408,0.73657,19.70587,19.60462,2130.20996,0.54208,-3.294456667,-5.2247,0.223434377,0.175276768,5538.022849,11009.60957,0.292825946,0.296628962,4.051949166
409,0.79851,29.73513,29.43949,2576.3501,0.37626,-2.2559,-3.680563333,0.21070553,0.15332717,6326.858578,12455.28102,0.240548046,0.172048931,2.860949138
410,0.60062,11.81752,11.36249,1587.04004,0.77686,-3.255323333,-4.866316667,0.228658004,0.179655093,6942.28556,13748.57271,0.343025592,0.374153789,4.362983962
411,0.63608,11.99864,11.50736,1713.39001,0.71619,-2.994406667,-4.563556667,0.209204105,0.160125938,15200.41567,29414.23809,0.23557402,0.213486374,3.624956164
412,0.79845,25.71565,25.36985,3347.95996,0.35903,-2.294566667,-3.719283333,0.218182059,0.157759174,7942.769839,15982.72192,0.278389815,0.193729378,2.783569904
413,0.62212,12.95632,12.51715,1588.96997,0.73655,-3.029256667,-4.71156,0.219304635,0.170997239,17388.90498,34021.17811,0.283007656,0.284573468,4.022131014
414,0.79073,12.1705,10.85082,4947.6499,0.42939,-3.31699,-5.34889,0.252242174,0.193145932,3481.373798,7300.939447,0.523535667,0.505977246,3.865847376
415,0.75881,25.87294,25.57106,2193.28003,0.46021,-2.421493333,-3.7799,0.208004854,0.155408148,5844.659115,11735.06322,0.224886219,0.179762866,3.197401181
416,0.60116,13.50537,13.15272,1539.39001,0.82314,-4.14473,-6.04384,0.250470093,0.206165502,2584.73754,5497.672988,0.464912483,0.694457126,5.974949269
417,0.81206,39.2125,38.93275,2801.78003,0.35559,-3.139356667,-4.894846667,0.228426594,0.177534386,10529.3388,20587.89749,0.332336584,0.337150088,4.0579353
418,0.75056,27.58431,27.22939,2234.05005,0.52721,-3.039116667,-5.009116667,0.225930923,0.172635442,10055.46463,19656.08539,0.3188607,0.287811715,3.610500949
419,0.65096,7.27303,6.26088,2316.05005,0.66285,-3.960583333,-6.213626667,0.258192643,0.212557891,11038.08808,21842.43373,0.536392295,0.816840763,6.091368353
420,0.70345,7.29696,6.59713,3786.21997,0.56396,-4.388616667,-6.63723,0.273795985,0.224348868,8652.92978,17247.1608,0.69209809,1.051201898,6.075450366
421,0.52848,6.8944,6.17786,1142.02002,0.90784,-4.759226667,-7.490036667,0.269591608,0.236986934,11725.09617,23113.96765,0.466818451,1.072581617,9.190567473
422,0.64136,12.54201,11.92015,1915,0.68468,-3.649206667,-5.619193333,0.242690155,0.195482962,14091.99424,27414.30883,0.409744141,0.518868864,5.065296232
423,0.57542,9.80036,9.49049,1371.90002,0.81947,-3.786853333,-5.918103333,0.219165662,0.183040114,10840.46268,21503.82032,0.250726954,0.329040792,5.249388423
424,0.662,16.54609,16.34537,1851.02002,0.64776,-3.70595,-5.833973333,0.231355691,0.189951536,4513.881858,9270.546674,0.330663213,0.440866094,5.333113289
425,0.68326,17.24196,16.91517,1963.31995,0.60683,-3.357113333,-5.503833333,0.226295043,0.182526936,5557.935447,11187.76115,0.304250673,0.358488344,4.71306558
426,0.65913,16.26744,16.14146,1849.31006,0.65222,-3.78783,-5.94154,0.229912253,0.188674199,6256.869591,12574.09391,0.319410819,0.415265352,5.200391807
427,0.81846,30.65329,30.53322,2650.09009,0.35445,-2.811243333,-4.38452,0.240634864,0.17927895,3625.611269,7216.008707,0.432166516,0.356559828,3.300207809
428,0.81819,30.62043,30.50054,2643.08008,0.35559,-2.825713333,-4.524843333,0.240907709,0.179655093,3518.64995,7008.866374,0.434013787,0.358385194,3.302984422
429,0.77273,31.68082,31.38514,2288.70996,0.48626,-3.852753333,-6.22247,0.255201913,0.205367423,5480.938381,10982.84823,0.518117106,0.656714221,5.070006085
430,0.73436,24.5783,24.20917,2130.01001,0.54301,-3.53811,-5.723026667,0.2464857,0.194395384,5518.940001,11043.72759,0.45768145,0.512660971,4.480504695
431,0.79045,13.2448,13.04774,4273.2998,0.39702,-2.7386,-4.04596,0.240998333,0.17569823,488.6188826,1222.518556,0.445357779,0.331866452,2.980672776
